Learning Rate,Optimizer,Hidden Layers,Neurons,Activation Function,Training MSE,Training RMSE,Training R2,Validation MSE,Validation RMSE,Validation R2
0.01,sgd,1,[20],relu,0.15913124041752147,0.398912572398416,0.8469136459421814,0.21124544013535593,0.4596144472657011,0.7597743624168445
0.01,gd,1,[20],relu,0.31184960299644565,0.55843495860883,0.6999965650249055,0.23466960795283326,0.48442709250498495,0.7331366956099171
0.01,mini-batch,1,[20],relu,0.18234798228325233,0.4270222269194571,0.8245788337707876,0.16310085961295817,0.4038574743804529,0.8145237692904599
0.01,sgd,2,"[13, 6]",relu,0.09341512202288849,0.3056388751826058,0.9101334193912585,0.173157865328932,0.4161224162778689,0.8030870698343712
0.01,gd,2,"[13, 6]",relu,0.33071092038630023,0.5750747085260316,0.6818517286975803,0.1511142171947661,0.3887341214696313,0.828154827151621
0.01,mini-batch,2,"[13, 6]",relu,0.18780597010398398,0.43336586171961444,0.8193281774334429,0.12052243272124115,0.3471634092487875,0.8629434167905272
0.01,sgd,2,"[16, 8]",relu,0.11093210752393716,0.33306471972266466,0.8932818480882049,0.1534677407460955,0.39174958933749443,0.8254784299933069
0.01,gd,2,"[16, 8]",relu,0.44170010123131703,0.6646052220915188,0.5750786714974512,0.2639142235745464,0.5137258252945305,0.6998800893177346
0.01,mini-batch,2,"[16, 8]",relu,0.2490874892851962,0.49908665508626476,0.7603745469711801,0.26684894594988773,0.5165742405016802,0.6965427602218062
0.01,sgd,3,"[16, 8, 16]",relu,0.1133283882119625,0.33664281993228745,0.8909765944317484,0.16965611541641118,0.4118933301431466,0.807069215460109
0.01,gd,3,"[16, 8, 16]",relu,0.3047369100154917,0.5520298089917715,0.7068390695710272,0.2652292496610739,0.5150041258680108,0.6983846583163735
0.01,mini-batch,3,"[16, 8, 16]",relu,0.19971542407420198,0.4468953166841223,0.8078711254910554,0.21106005373076941,0.45941272700129826,0.7599851814868916
0.01,sgd,3,"[16, 32, 16]",relu,0.15739838916190782,0.39673465838253635,0.8485806717263731,0.154807329822732,0.39345562624358543,0.8239550662708606
0.01,gd,3,"[16, 32, 16]",relu,0.447004048846757,0.6685836139532265,0.5699762038711638,0.31001371328542504,0.5567887510406663,0.6474563337992341
0.01,mini-batch,3,"[16, 32, 16]",relu,0.14387591142681289,0.37930978293053935,0.861589473824957,0.17459533175058767,0.41784606226526494,0.8014524012354876
0.05,sgd,1,[20],relu,,,,,,
0.05,gd,1,[20],relu,0.20787651264967494,0.45593476797637944,0.8000200505425785,0.16590725750815394,0.40731714610135666,0.811332369167203
0.05,mini-batch,1,[20],relu,0.14425267267337014,0.37980609878380067,0.8612270245319432,0.15002445758017807,0.38732990793402217,0.8293940879757081
0.05,sgd,2,"[13, 6]",relu,1.060307551202459,1.02971236333379,-0.02002986194083478,0.8865709798897179,0.9415789822897057,-0.00819728354971816
0.05,gd,2,"[13, 6]",relu,0.19612817340033575,0.44286360586566126,0.8113221079965194,0.132349315667717,0.36379845473519673,0.849494035376102
0.05,mini-batch,2,"[13, 6]",relu,0.1544556496547083,0.39300846002943535,0.8514116259809688,0.1392776344621356,0.3731991887211648,0.8416152390399438
0.05,sgd,2,"[16, 8]",relu,1.1728531822012511,1.0829834634939035,-0.1283002447364221,1.0596354547366673,1.0293859600444661,-0.20500401124269674
0.05,gd,2,"[16, 8]",relu,0.20594062086084455,0.45380681006442,0.8018824040001707,0.20322886821038494,0.4508091261391953,0.7688907064225349
0.05,mini-batch,2,"[16, 8]",relu,0.17015505443202794,0.41249855082415493,0.8363085913289927,0.14825855148142758,0.38504357088701996,0.8314022540133396
0.05,sgd,3,"[16, 8, 16]",relu,,,,,,
0.05,gd,3,"[16, 8, 16]",relu,715496436676.6173,845870.2244887317,-688317017731.012,715496336200.8535,845870.1650967798,-813653366633.2291
0.05,mini-batch,3,"[16, 8, 16]",relu,1.039925578354916,1.0197674138522548,-0.0004221349882316261,0.8774339801781326,0.9367144603229591,0.0021931967366553007
0.05,sgd,3,"[16, 32, 16]",relu,,,,,,
0.05,gd,3,"[16, 32, 16]",relu,2.666817184486318,1.6330392476870599,-1.5655133375482433,2.4985940533776834,1.5806941681987958,-1.8413694948849013
0.05,mini-batch,3,"[16, 32, 16]",relu,0.3368631289169492,0.580399111747209,0.6759332228725181,0.24572575619950535,0.4957073291767082,0.7205637839292254
0.025,sgd,1,[20],relu,0.12034022055332239,0.3469008800123205,0.8842311191524311,0.22984166769149547,0.4794180510697271,0.738626968094616
0.025,gd,1,[20],relu,0.24490829289016625,0.4948820999896503,0.7643949890749939,0.19112789940203215,0.4371817692928562,0.7826517748058229
0.025,mini-batch,1,[20],relu,0.1813613807527245,0.42586544911829194,0.825527957467807,0.1576306787297433,0.39702730224726773,0.8207443896717732
0.025,sgd,2,"[13, 6]",relu,0.1929894839485504,0.43930568394746544,0.8143415686846461,0.2355894029917574,0.4853755278047683,0.7320907163474545
0.025,gd,2,"[13, 6]",relu,0.21270639981978295,0.4612010405666741,0.7953736353230245,0.12097815041715095,0.34781913463343406,0.862425180401672
0.025,mini-batch,2,"[13, 6]",relu,0.18660981813202349,0.4319835854891057,0.8204788914215074,0.1451390568045601,0.380971202067243,0.834949703829097
0.025,sgd,2,"[16, 8]",relu,0.18506146945549765,0.43018771420799273,0.8219684232888999,0.21930456378823257,0.46829965170629007,0.7506096291254026
0.025,gd,2,"[16, 8]",relu,0.2664208938069384,0.5161597560900485,0.7436995829937696,0.2136871838399547,0.46226311105252027,0.7569976424181735
0.025,mini-batch,2,"[16, 8]",relu,0.21715862907575603,0.46600282088819595,0.7910905320025314,0.24918271899013086,0.49918204994784304,0.7166325696509567
0.025,sgd,3,"[16, 8, 16]",relu,1.039587753013124,1.01960176197039,-9.71425496156808e-05,0.8817973325733408,0.9390406447930466,-0.002768752314018963
0.025,gd,3,"[16, 8, 16]",relu,0.8577609682614036,0.9261538577695412,0.17482262477365706,0.4961078130476852,0.7043492124278163,0.4358324817662256
0.025,mini-batch,3,"[16, 8, 16]",relu,0.164911504160229,0.40609297477330114,0.84135295591336,0.17471513921528878,0.41798940084084524,0.8013161577048504
0.025,sgd,3,"[16, 32, 16]",relu,1.0447188606338302,1.0221148960042752,-0.005033335819216722,0.8795300726682684,0.9378326464078057,-0.00019045308108056602
0.025,gd,3,"[16, 32, 16]",relu,0.25987498122764036,0.5097793456267529,0.7499968373111288,0.19502996056408559,0.4416219656720956,0.77821440029993
0.025,mini-batch,3,"[16, 32, 16]",relu,0.1700690307419383,0.4123942661361071,0.8363913472545035,0.18876227558011077,0.434467807300047,0.7853419322385176
0.01,sgd,1,[20],tanh,0.1190613198514563,0.3450526334509799,0.8854614385110748,0.12692361679987824,0.3562634092913251,0.8556640713732133
0.01,gd,1,[20],tanh,0.36807708123901595,0.606693564527444,0.6459049886666994,0.2144255181693438,0.4630610307177055,0.7561580179750926
0.01,mini-batch,1,[20],tanh,0.16641808593990984,0.4079437288890587,0.8399036043521195,0.11778042628110268,0.34319153002529457,0.8660615917670725
0.01,sgd,2,"[13, 6]",tanh,0.0972006907225371,0.31177025310721534,0.9064916523268901,0.1639164259673557,0.4048659357952404,0.8135963175672369
0.01,gd,2,"[13, 6]",tanh,0.3265269417822094,0.5714253597646936,0.685876771349643,0.24199924847722168,0.49193419120571574,0.7248015212880556
0.01,mini-batch,2,"[13, 6]",tanh,0.1773192942039818,0.42109297572386767,0.8294164980894325,0.20077649600293118,0.4480809034124654,0.7716795130199663
0.01,sgd,2,"[16, 8]",tanh,0.20860369455811156,0.4567315344467815,0.7993204919467471,0.24323151711975202,0.49318507390203126,0.7234002010032916
0.01,gd,2,"[16, 8]",tanh,0.470976224345334,0.6862770754916224,0.5469146545720908,0.3384571409137037,0.5817706944438709,0.6151108283403923
0.01,mini-batch,2,"[16, 8]",tanh,0.16479829730966863,0.405953565459978,0.8414618623981029,0.16065631100046504,0.4008195491745195,0.817303678994844
0.01,sgd,3,"[16, 8, 16]",tanh,0.14118257731861536,0.3757427009518819,0.8641804967931794,0.1851892810766353,0.4303362418814331,0.7894050963102652
0.01,gd,3,"[16, 8, 16]",tanh,0.7004927623876633,0.8369544565791279,0.32611671500544803,0.4165530651360491,0.6454092230020029,0.5263011329598065
0.01,mini-batch,3,"[16, 8, 16]",tanh,0.19930756507807254,0.4464387584854977,0.8082634912296955,0.19893495876209927,0.4460212537111872,0.7737736858339618
0.01,sgd,3,"[16, 32, 16]",tanh,0.15282886270012833,0.3909333225757665,0.8529766165073548,0.14889522285554727,0.38586943757642594,0.8306782393947004
0.01,gd,3,"[16, 32, 16]",tanh,0.4754320983908583,0.689515843466166,0.5426280449159326,0.31089607537302544,0.5575805550528331,0.6464529228146599
0.01,mini-batch,3,"[16, 32, 16]",tanh,0.17805711409083794,0.4219681434549745,0.828706705617924,0.14666413877148116,0.38296754271280115,0.8332153999424169
0.05,sgd,1,[20],tanh,1.1040176404056463,1.0507224373761352,-0.062079544794442665,1.7889005842914874,1.3374978819764491,-1.0343150751985246
0.05,gd,1,[20],tanh,0.24001789686519515,0.4899162141276763,0.7690996146117357,0.16454832959413784,0.4056455713971716,0.8128777247704524
0.05,mini-batch,1,[20],tanh,0.1365777563697838,0.3695642790771097,0.8686103953366465,0.1016289342811482,0.31879293323589875,0.8844288637949194
0.05,sgd,2,"[13, 6]",tanh,0.2629075278894396,0.512745090556155,0.7470794873882161,0.28667656450352585,0.535421856579955,0.6739950436616222
0.05,gd,2,"[13, 6]",tanh,0.1814225616726384,0.4259372743405282,0.825469100615168,0.20155541795156492,0.44894923761107436,0.7707937328506137
0.05,mini-batch,2,"[13, 6]",tanh,0.10939701565985116,0.330752196757408,0.89475862672702,0.17220270910504717,0.41497314263099866,0.8041732613882681
0.05,sgd,2,"[16, 8]",tanh,0.13311682872399838,0.36485179007920243,0.8719398534214391,0.18643246933696067,0.431778264085816,0.78799135837452
0.05,gd,2,"[16, 8]",tanh,0.27774959751800615,0.5270195418748779,0.7328012204674779,0.22518853456016225,0.4745403402874852,0.74391845212626
0.05,mini-batch,2,"[16, 8]",tanh,0.14155995313602063,0.37624453901155913,0.8638174562748966,0.15255736551732174,0.39058592590788743,0.826513697167036
0.05,sgd,3,"[16, 8, 16]",tanh,0.22299264738649627,0.472220973048102,0.7854781293696198,0.317310262846157,0.563302993819629,0.6391587901019082
0.05,gd,3,"[16, 8, 16]",tanh,0.21697571133235716,0.4658065170565534,0.7912665012864756,0.21372609988296049,0.46230520209376885,0.7569533875872181
0.05,mini-batch,3,"[16, 8, 16]",tanh,0.13653881008608013,0.36951158315549476,0.8686478621757201,0.15150997898315283,0.38924282778639974,0.8277047718610295
0.05,sgd,3,"[16, 32, 16]",tanh,0.38547671798285615,0.6208677137545937,0.6291663084172638,0.4027048392844292,0.6345902924599691,0.5420491599111544
0.05,gd,3,"[16, 32, 16]",tanh,0.21597038619699918,0.4647261410734274,0.7922336373385219,0.17475229040394752,0.4180338388264131,0.8012739098438939
0.05,mini-batch,3,"[16, 32, 16]",tanh,0.14731175750340528,0.38381213829607486,0.8582841445408431,0.14519127192075015,0.3810397248591676,0.8348903254606446
