Learning Rate,Epochs,Optimizer,Neurons,Activation function,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Validation Loss,Training Accuracy,Training F1,Training Precision,Training Recall,Training Loss
0.01,50,sgd,"[8, 10]",relu,0.6052631578947368,0.25597402597402596,0.2728473100154516,0.2595726495726495,1.0019594714933198,0.64625,0.3357577050908926,0.48563332464474196,0.3239804975916087,0.8441928361043964
0.01,50,gd,"[8, 10]",relu,0.49122807017543857,0.18427785543212602,0.17628714327743453,0.1945181255526083,1.4916600278474095,0.44875,0.1868438909633121,0.17155269584311073,0.23155955100399542,1.4975962530073508
0.01,50,mini-batch,"[8, 10]",relu,0.6271929824561403,0.276304555676753,0.2983920841063698,0.2758348069554966,1.0022125453324282,0.57125,0.2782906401869359,0.28711767376903646,0.2771109784998674,0.9406038855078604
0.01,100,sgd,"[8, 10]",relu,0.6052631578947368,0.25597402597402596,0.2728473100154516,0.2595726495726495,1.0019594714933198,0.64625,0.3357577050908926,0.48563332464474196,0.3239804975916087,0.8441928361043964
0.01,100,gd,"[8, 10]",relu,0.5570175438596491,0.20441249688822505,0.19201141995259643,0.22137488947833775,1.2548178039603128,0.485,0.20170314080818508,0.1850366893365006,0.22168429112873556,1.2301679226137932
0.01,100,mini-batch,"[8, 10]",relu,0.631578947368421,0.2719641569677618,0.29406922752216125,0.27331270262304747,0.9939065315515077,0.58,0.27837154324042007,0.28740248787687117,0.27728048561381896,0.9209432473738957
0.01,50,sgd,"[16, 8]",relu,0.6096491228070176,0.25312675528927164,0.31024173027989826,0.258929413498379,0.9980858525086616,0.63,0.2678836744974851,0.3355342824414989,0.27180011207788984,0.8323713964781999
0.01,50,gd,"[16, 8]",relu,0.4956140350877193,0.22020223168244665,0.23628620867884673,0.23230327144120247,1.2486171720473025,0.485,0.22250160938004904,0.23938739576290288,0.23540420762642986,1.2699114393796587
0.01,50,mini-batch,"[16, 8]",relu,0.6096491228070176,0.27785441596355587,0.28262823245240126,0.27892646625405243,0.9679582398766037,0.595,0.2819534442672253,0.28798332716019787,0.2822539419761642,0.9238001012012182
0.01,100,sgd,"[16, 8]",relu,0.6096491228070176,0.25312675528927164,0.31024173027989826,0.258929413498379,0.9980858525086616,0.63,0.2678836744974851,0.3355342824414989,0.27180011207788984,0.8323713964781999
0.01,100,gd,"[16, 8]",relu,0.49122807017543857,0.2308986936646511,0.28446467528108743,0.22271072796934865,1.1229461568900725,0.53625,0.24193895132280585,0.2646483956947242,0.24196311696311693,1.127110729107388
0.01,100,mini-batch,"[16, 8]",relu,0.6096491228070176,0.28351051272134803,0.2874813733540127,0.28430371352785144,0.9526551563033635,0.61875,0.31144847617464655,0.46762532299741605,0.3059079378523823,0.8932478833006937
